title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
"Furnished 9bdrm Duplex in 69 Road Gwarimpa, Gwarinpa for sale","Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),750000000.0,enterprise,2000.0,9.0,5.0,Furnished
Furnished 3bdrm Apartment in Guzape Abuja for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),300000000.0,enterprise,2500.0,3.0,4.0,Furnished
"4bdrm Duplex in Orchid, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,150000000.0,diamond,300.0,4.0,4.0,Unfurnished
4bdrm Duplex in Orchid Lekki Lagos for sale,"Lagos State, Lekki",Lekki,Lagos State,220000000.0,diamond,600.0,4.0,4.0,Semi-Furnished
2bdrm Apartment in Ikate Lekki Lagos for sale,"Lekki, Ikate",Ikate,Lekki,145000000.0,diamond,500.0,2.0,2.0,Semi-Furnished
"4bdrm Bungalow in Nddc Estate Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,70000000.0,enterprise,478.0,4.0,4.0,Semi-Furnished
"Furnished 4bdrm Duplex in Radio Estate P/H, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,350000000.0,enterprise,560.0,4.0,4.0,Furnished
2bdrm Block of Flats in Rumuigbo Port for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,120000000.0,enterprise,690.0,2.0,2.0,Semi-Furnished
4bdrm Duplex in Gra Port Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,180000000.0,enterprise,230.0,4.0,4.0,Semi-Furnished
"Furnished 2bdrm Block of Flats in Golf Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,95000000.0,enterprise,1198.0,2.0,2.0,Furnished
"5bdrm Duplex in Opposite Jephthah, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,120000000.0,enterprise,980.0,5.0,5.0,Semi-Furnished
"Furnished 6bdrm Duplex in Woji Ph, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,220000000.0,enterprise,480.0,6.0,6.0,Furnished
"5bdrm Duplex in Amen Estate Corner, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,95000000.0,enterprise,460.0,5.0,5.0,Semi-Furnished
"4bdrm Bungalow in Nvigwe Woji Ph, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,95000000.0,enterprise,450.0,4.0,5.0,Semi-Furnished
"4bdrm Duplex in Sunrise Estate Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,150000000.0,enterprise,469.0,4.0,4.0,Semi-Furnished
"Furnished 4bdrm Duplex in Shell Co Operative, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,300000000.0,enterprise,500.0,4.0,4.0,Furnished
"3bdrm Penthouse in Ozuoba P/H, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,80000000.0,enterprise,465.0,3.0,3.0,Semi-Furnished
"2bdrm Block of Flats in Ceder Wood Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,90000000.0,enterprise,468.0,2.0,2.0,Semi-Furnished
"Furnished 2bdrm Block of Flats in Eligbolo Estate, Port-Harcourt","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,160000000.0,enterprise,890.0,2.0,2.0,Furnished
"Furnished 5bdrm Duplex in Unity Estate Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,90000000.0,enterprise,500.0,5.0,5.0,Furnished
6bdrm Duplex in Guzape Abuja for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),850000000.0,enterprise,1000.0,6.0,7.0,Semi-Furnished
5bdrm Duplex in Guzape Main Abuja for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),550000000.0,enterprise,500.0,5.0,6.0,Semi-Furnished
2bdrm Apartment in Osapa london for sale,"Lekki, Osapa london",Osapa london,Lekki,150000000.0,diamond,300.0,2.0,2.0,Unfurnished
5bdrm Duplex in Lekki County Ikota for sale,"Lekki, Ikota",Ikota,Lekki,420000000.0,diamond,600.0,5.0,5.0,Semi-Furnished
"Furnished 6bdrm Duplex in Fàvour Estate Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,110000000.0,enterprise,780.0,6.0,7.0,Furnished
5bdrm Duplex in Osapa london for sale,"Lekki, Osapa london",Osapa london,Lekki,800000000.0,enterprise,500.0,5.0,5.0,Semi-Furnished
4bdrm Duplex in Asokoro for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),500000000.0,enterprise,3000.0,4.0,5.0,Unfurnished
6bdrm Duplex in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,550000000.0,enterprise,600.0,6.0,5.0,Semi-Furnished
Furnished 4bdrm Duplex in Karsana Gwarinpa for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),400000000.0,enterprise,700.0,4.0,5.0,Furnished
5bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,600000000.0,diamond,400.0,5.0,5.0,Unfurnished
5bdrm House in Ikota Lekki for sale,"Lekki, Ikota",Ikota,Lekki,250000000.0,diamond,600.0,5.0,5.0,Semi-Furnished
"6bdrm Duplex in Lekki Lagos, Osapa london for sale","Lekki, Osapa london",Osapa london,Lekki,1300000000.0,diamond,600.0,6.0,6.0,Semi-Furnished
3bdrm Maisonette in Victoria Island for sale,"Lagos State, Victoria Island",Victoria Island,Lagos State,450000000.0,diamond,500.0,3.0,3.0,Unfurnished
"Furnished 5bdrm Duplex in Eliozu P/H, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,200000000.0,enterprise,560.0,5.0,5.0,Furnished
"6bdrm Duplex in Mercyland Extension, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,300000000.0,enterprise,569.0,6.0,6.0,Semi-Furnished
"Furnished 4bdrm Duplex in Minita Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,200000000.0,enterprise,465.0,4.0,5.0,Furnished
"4bdrm Bungalow in Eliozu Farm Rd, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,120000000.0,enterprise,590.0,4.0,5.0,Semi-Furnished
"Furnished 4bdrm Bungalow in Nvigwe Estate Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,85000000.0,enterprise,465.0,4.0,5.0,Furnished
"4bdrm Duplex in Akwa Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,130000000.0,enterprise,350.0,4.0,5.0,Semi-Furnished
"4bdrm Duplex in Reef Court Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,200000000.0,enterprise,450.0,4.0,4.0,Semi-Furnished
"Furnished 1bdrm Block of Flats in Rumualogu Ozuoba Off, Port-Harcourt","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,40000000.0,enterprise,470.0,1.0,1.0,Furnished
"5bdrm Duplex in Runuodara, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,150000000.0,enterprise,980.0,5.0,5.0,Semi-Furnished
5bdrm Mansion in Asokoro Main for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),3500000000.0,enterprise,1200.0,5.0,5.0,Semi-Furnished
