,title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
473,Furnished 4bdrm Duplex in Akala Express for sale,"Ibadan, Akala Express",Akala Express,Ibadan,115000000.0,premium,500.0,4.0,4.0,Furnished
474,2bdrm Block of Flats in Katampe for sale,"Abuja (Fct), Katampe",Katampe,Abuja (Fct),90000000.0,False,1200.0,2.0,2.0,Semi-Furnished
475,4bdrm Duplex in Kado for sale,"Abuja (Fct), Kado",Kado,Abuja (Fct),350000000.0,False,2500.0,4.0,6.0,Semi-Furnished
477,5bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lekki,450000000.0,enterprise,500.0,5.0,5.0,Semi-Furnished
478,"Furnished 3bdrm Bungalow in Coconut Estate, Bogije for sale","Ibeju, Bogije",Bogije,Ibeju,30000000.0,False,3012.0,3.0,4.0,Furnished
479,4bdrm House in Jahi for sale,"Abuja (Fct), Jahi",Jahi,Abuja (Fct),550000000.0,False,1500.0,4.0,5.0,Semi-Furnished
480,Furnished 4bdrm Duplex in Sangotedo for sale,"Ajah, Sangotedo",Sangotedo,Ajah,165000000.0,enterprise,250.0,4.0,4.0,Furnished
481,"5bdrm Duplex in Lakeview Estate, Lafiaji for sale","Lekki, Lafiaji",Lafiaji,Lekki,450000000.0,enterprise,600.0,5.0,5.0,Semi-Furnished
482,"4bdrm Duplex in Efab Queens, Gwarinpa for sale","Abuja (Fct), Gwarinpa",Gwarinpa,Abuja (Fct),300000000.0,diamond,500.0,4.0,4.0,Unfurnished
483,2bdrm Maisonette in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,250000000.0,enterprise,500.0,2.0,2.0,Unfurnished
484,3bdrm Apartment in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,340000000.0,enterprise,500.0,3.0,3.0,Unfurnished
485,4bdrm Apartment in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,400000000.0,enterprise,500.0,4.0,4.0,Unfurnished
486,Furnished 1bdrm Apartment in Karu for sale,"Abuja (Fct), Karu",Karu,Abuja (Fct),150000000.0,diamond,500.0,1.0,2.0,Furnished
487,5bdrm Duplex in Dakwo District for sale,"Abuja (Fct), Dakwo District",Dakwo District,Abuja (Fct),480000000.0,diamond,700.0,5.0,8.0,Semi-Furnished
488,"4bdrm Duplex in Nill, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,160000000.0,diamond,500.0,4.0,4.0,Unfurnished
489,"Furnished 4bdrm Duplex in Efab Metropolitan, Gwarinpa for sale","Abuja (Fct), Gwarinpa",Gwarinpa,Abuja (Fct),320000000.0,diamond,500.0,4.0,6.0,Furnished
490,7bdrm Mansion in Asokoro Mansion for sale,"Abuja (Fct), Asokoro",Asokoro,Abuja (Fct),650000000.0,diamond,450.0,7.0,10.0,Semi-Furnished
491,2bdrm Block of Flats in Makurdi for sale,"Benue State, Makurdi",Makurdi,Benue State,500000000.0,diamond,2400.0,2.0,2.0,Unfurnished
